step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
20000,1.9241,46492992,12_14_576_1152,12,14,576,1152,False,False
40000,1.709,46492992,12_14_576_1152,12,14,576,1152,False,False
60000,1.6372,46492992,12_14_576_1152,12,14,576,1152,False,False
80000,1.5895,46492992,12_14_576_1152,12,14,576,1152,False,False
100000,1.5523,46492992,12_14_576_1152,12,14,576,1152,False,False
120000,1.5237,46492992,12_14_576_1152,12,14,576,1152,False,False
140000,1.5012,46492992,12_14_576_1152,12,14,576,1152,False,False
160000,1.4813,46492992,12_14_576_1152,12,14,576,1152,False,False
180000,1.4656,46492992,12_14_576_1152,12,14,576,1152,False,False
200000,1.451,46492992,12_14_576_1152,12,14,576,1152,False,False
220000,1.4384,46492992,12_14_576_1152,12,14,576,1152,False,False
240000,1.4257,46492992,12_14_576_1152,12,14,576,1152,False,False
260000,1.4167,46492992,12_14_576_1152,12,14,576,1152,False,False
280000,1.4075,46492992,12_14_576_1152,12,14,576,1152,False,False
300000,1.3988,46492992,12_14_576_1152,12,14,576,1152,False,False
320000,1.3894,46492992,12_14_576_1152,12,14,576,1152,False,False
340000,1.3789,46492992,12_14_576_1152,12,14,576,1152,False,False
360000,1.3693,46492992,12_14_576_1152,12,14,576,1152,False,False
380000,1.3605,46492992,12_14_576_1152,12,14,576,1152,False,False
400000,1.3527,46492992,12_14_576_1152,12,14,576,1152,False,False
420000,1.3457,46492992,12_14_576_1152,12,14,576,1152,False,False
440000,1.3391,46492992,12_14_576_1152,12,14,576,1152,False,False
460000,1.3331,46492992,12_14_576_1152,12,14,576,1152,False,False
480000,1.3269,46492992,12_14_576_1152,12,14,576,1152,False,False
500000,1.3232,46492992,12_14_576_1152,12,14,576,1152,False,False
520000,1.3185,46492992,12_14_576_1152,12,14,576,1152,False,False
540000,1.3138,46492992,12_14_576_1152,12,14,576,1152,False,False
560000,1.3102,46492992,12_14_576_1152,12,14,576,1152,False,False
580000,1.3061,46492992,12_14_576_1152,12,14,576,1152,False,False
600000,1.3031,46492992,12_14_576_1152,12,14,576,1152,False,False
620000,1.2935,46492992,12_14_576_1152,12,14,576,1152,False,False
640000,1.2902,46492992,12_14_576_1152,12,14,576,1152,False,False
660000,1.2877,46492992,12_14_576_1152,12,14,576,1152,False,False
680000,1.2851,46492992,12_14_576_1152,12,14,576,1152,False,False
700000,1.2819,46492992,12_14_576_1152,12,14,576,1152,False,False
720000,1.2797,46492992,12_14_576_1152,12,14,576,1152,False,False
740000,1.2782,46492992,12_14_576_1152,12,14,576,1152,False,False
760000,1.2755,46492992,12_14_576_1152,12,14,576,1152,False,False
20000,1.9248,46122720,12_20_480_960,12,20,480,960,False,False
40000,1.7043,46122720,12_20_480_960,12,20,480,960,False,False
60000,1.6346,46122720,12_20_480_960,12,20,480,960,False,False
80000,1.5899,46122720,12_20_480_960,12,20,480,960,False,False
100000,1.5536,46122720,12_20_480_960,12,20,480,960,False,False
120000,1.5257,46122720,12_20_480_960,12,20,480,960,False,False
140000,1.5037,46122720,12_20_480_960,12,20,480,960,False,False
160000,1.4843,46122720,12_20_480_960,12,20,480,960,False,False
180000,1.469,46122720,12_20_480_960,12,20,480,960,False,False
200000,1.4548,46122720,12_20_480_960,12,20,480,960,False,False
220000,1.4426,46122720,12_20_480_960,12,20,480,960,False,False
240000,1.43,46122720,12_20_480_960,12,20,480,960,False,False
260000,1.4213,46122720,12_20_480_960,12,20,480,960,False,False
280000,1.4123,46122720,12_20_480_960,12,20,480,960,False,False
300000,1.4038,46122720,12_20_480_960,12,20,480,960,False,False
320000,1.3948,46122720,12_20_480_960,12,20,480,960,False,False
340000,1.3841,46122720,12_20_480_960,12,20,480,960,False,False
360000,1.3749,46122720,12_20_480_960,12,20,480,960,False,False
380000,1.3662,46122720,12_20_480_960,12,20,480,960,False,False
400000,1.3585,46122720,12_20_480_960,12,20,480,960,False,False
420000,1.3516,46122720,12_20_480_960,12,20,480,960,False,False
440000,1.345,46122720,12_20_480_960,12,20,480,960,False,False
460000,1.3393,46122720,12_20_480_960,12,20,480,960,False,False
480000,1.3334,46122720,12_20_480_960,12,20,480,960,False,False
500000,1.3298,46122720,12_20_480_960,12,20,480,960,False,False
520000,1.3251,46122720,12_20_480_960,12,20,480,960,False,False
540000,1.3204,46122720,12_20_480_960,12,20,480,960,False,False
560000,1.3171,46122720,12_20_480_960,12,20,480,960,False,False
580000,1.313,46122720,12_20_480_960,12,20,480,960,False,False
600000,1.3102,46122720,12_20_480_960,12,20,480,960,False,False
620000,1.3005,46122720,12_20_480_960,12,20,480,960,False,False
20000,1.9131,48346480,10_22_560_560,10,22,560,560,True,True
40000,1.7012,48346480,10_22_560_560,10,22,560,560,True,True
60000,1.6353,48346480,10_22_560_560,10,22,560,560,True,True
80000,1.5908,48346480,10_22_560_560,10,22,560,560,True,True
100000,1.5547,48346480,10_22_560_560,10,22,560,560,True,True
120000,1.5262,48346480,10_22_560_560,10,22,560,560,True,True
140000,1.5048,48346480,10_22_560_560,10,22,560,560,True,True
160000,1.4855,48346480,10_22_560_560,10,22,560,560,True,True
180000,1.4706,48346480,10_22_560_560,10,22,560,560,True,True
200000,1.4563,48346480,10_22_560_560,10,22,560,560,True,True
220000,1.4443,48346480,10_22_560_560,10,22,560,560,True,True
240000,1.4319,48346480,10_22_560_560,10,22,560,560,True,True
260000,1.4231,48346480,10_22_560_560,10,22,560,560,True,True
280000,1.4142,48346480,10_22_560_560,10,22,560,560,True,True
300000,1.4053,48346480,10_22_560_560,10,22,560,560,True,True
320000,1.3963,48346480,10_22_560_560,10,22,560,560,True,True
340000,1.3853,48346480,10_22_560_560,10,22,560,560,True,True
360000,1.3756,48346480,10_22_560_560,10,22,560,560,True,True
20000,1.9125,49734048,12_20_672_336,12,20,672,336,False,True
40000,1.704,49734048,12_20_672_336,12,20,672,336,False,True
60000,1.6399,49734048,12_20_672_336,12,20,672,336,False,True
80000,1.5973,49734048,12_20_672_336,12,20,672,336,False,True
100000,1.5637,49734048,12_20_672_336,12,20,672,336,False,True
120000,1.5367,49734048,12_20_672_336,12,20,672,336,False,True
