step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
20000,1.956,24983952,14_26_336_504,14,26,336,504,True,False
40000,1.733,24983952,14_26_336_504,14,26,336,504,True,False
60000,1.6633,24983952,14_26_336_504,14,26,336,504,True,False
80000,1.6197,24983952,14_26_336_504,14,26,336,504,True,False
100000,1.5848,24983952,14_26_336_504,14,26,336,504,True,False
120000,1.5569,24983952,14_26_336_504,14,26,336,504,True,False
140000,1.5359,24983952,14_26_336_504,14,26,336,504,True,False
160000,1.5172,24983952,14_26_336_504,14,26,336,504,True,False
180000,1.5031,24983952,14_26_336_504,14,26,336,504,True,False
200000,1.4897,24983952,14_26_336_504,14,26,336,504,True,False
220000,1.4784,24983952,14_26_336_504,14,26,336,504,True,False
240000,1.4668,24983952,14_26_336_504,14,26,336,504,True,False
260000,1.4589,24983952,14_26_336_504,14,26,336,504,True,False
280000,1.4505,24983952,14_26_336_504,14,26,336,504,True,False
300000,1.4424,24983952,14_26_336_504,14,26,336,504,True,False
320000,1.4338,24983952,14_26_336_504,14,26,336,504,True,False
340000,1.424,24983952,14_26_336_504,14,26,336,504,True,False
360000,1.4155,24983952,14_26_336_504,14,26,336,504,True,False
380000,1.4075,24983952,14_26_336_504,14,26,336,504,True,False
400000,1.4003,24983952,14_26_336_504,14,26,336,504,True,False
420000,1.3943,24983952,14_26_336_504,14,26,336,504,True,False
440000,1.3882,24983952,14_26_336_504,14,26,336,504,True,False
460000,1.3827,24983952,14_26_336_504,14,26,336,504,True,False
480000,1.3769,24983952,14_26_336_504,14,26,336,504,True,False
500000,1.3739,24983952,14_26_336_504,14,26,336,504,True,False
520000,1.3697,24983952,14_26_336_504,14,26,336,504,True,False
540000,1.3653,24983952,14_26_336_504,14,26,336,504,True,False
20000,1.9506,22850400,10_18_480_240,10,18,480,240,True,True
40000,1.7358,22850400,10_18_480_240,10,18,480,240,True,True
60000,1.67,22850400,10_18_480_240,10,18,480,240,True,True
80000,1.6298,22850400,10_18_480_240,10,18,480,240,True,True
100000,1.5973,22850400,10_18_480_240,10,18,480,240,True,True
120000,1.57,22850400,10_18_480_240,10,18,480,240,True,True
140000,1.5494,22850400,10_18_480_240,10,18,480,240,True,True
160000,1.5314,22850400,10_18_480_240,10,18,480,240,True,True
180000,1.5178,22850400,10_18_480_240,10,18,480,240,True,True
200000,1.5045,22850400,10_18_480_240,10,18,480,240,True,True
220000,1.4938,22850400,10_18_480_240,10,18,480,240,True,True
240000,1.4825,22850400,10_18_480_240,10,18,480,240,True,True
260000,1.4747,22850400,10_18_480_240,10,18,480,240,True,True
280000,1.4666,22850400,10_18_480_240,10,18,480,240,True,True
300000,1.4586,22850400,10_18_480_240,10,18,480,240,True,True
320000,1.4509,22850400,10_18_480_240,10,18,480,240,True,True
340000,1.4413,22850400,10_18_480_240,10,18,480,240,True,True
360000,1.4327,22850400,10_18_480_240,10,18,480,240,True,True
380000,1.4246,22850400,10_18_480_240,10,18,480,240,True,True
400000,1.4177,22850400,10_18_480_240,10,18,480,240,True,True
420000,1.4121,22850400,10_18_480_240,10,18,480,240,True,True
440000,1.4057,22850400,10_18_480_240,10,18,480,240,True,True
460000,1.4004,22850400,10_18_480_240,10,18,480,240,True,True
480000,1.3947,22850400,10_18_480_240,10,18,480,240,True,True
500000,1.3917,22850400,10_18_480_240,10,18,480,240,True,True
520000,1.3876,22850400,10_18_480_240,10,18,480,240,True,True
540000,1.3832,22850400,10_18_480_240,10,18,480,240,True,True
560000,1.3804,22850400,10_18_480_240,10,18,480,240,True,True
580000,1.3766,22850400,10_18_480_240,10,18,480,240,True,True
600000,1.3741,22850400,10_18_480_240,10,18,480,240,True,True
620000,1.3664,22850400,10_18_480_240,10,18,480,240,True,True
640000,1.3635,22850400,10_18_480_240,10,18,480,240,True,True
660000,1.3612,22850400,10_18_480_240,10,18,480,240,True,True
680000,1.3587,22850400,10_18_480_240,10,18,480,240,True,True
700000,1.3569,22850400,10_18_480_240,10,18,480,240,True,True
720000,1.3548,22850400,10_18_480_240,10,18,480,240,True,True
740000,1.3527,22850400,10_18_480_240,10,18,480,240,True,True
760000,1.3496,22850400,10_18_480_240,10,18,480,240,True,True
780000,1.3481,22850400,10_18_480_240,10,18,480,240,True,True
800000,1.3461,22850400,10_18_480_240,10,18,480,240,True,True
820000,1.3435,22850400,10_18_480_240,10,18,480,240,True,True
840000,1.3408,22850400,10_18_480_240,10,18,480,240,True,True
860000,1.3402,22850400,10_18_480_240,10,18,480,240,True,True
880000,1.3381,22850400,10_18_480_240,10,18,480,240,True,True
900000,1.3368,22850400,10_18_480_240,10,18,480,240,True,True
920000,1.3338,22850400,10_18_480_240,10,18,480,240,True,True
940000,1.3328,22850400,10_18_480_240,10,18,480,240,True,True
960000,1.3314,22850400,10_18_480_240,10,18,480,240,True,True
980000,1.329,22850400,10_18_480_240,10,18,480,240,True,True
1000000,1.3277,22850400,10_18_480_240,10,18,480,240,True,True
20000,1.9509,22743936,12_22_384_384,12,22,384,384,True,True
40000,1.7286,22743936,12_22_384_384,12,22,384,384,True,True
60000,1.6606,22743936,12_22_384_384,12,22,384,384,True,True
80000,1.6199,22743936,12_22_384_384,12,22,384,384,True,True
100000,1.587,22743936,12_22_384_384,12,22,384,384,True,True
120000,1.5598,22743936,12_22_384_384,12,22,384,384,True,True
140000,1.5385,22743936,12_22_384_384,12,22,384,384,True,True
160000,1.5195,22743936,12_22_384_384,12,22,384,384,True,True
180000,1.5049,22743936,12_22_384_384,12,22,384,384,True,True
200000,1.4917,22743936,12_22_384_384,12,22,384,384,True,True
