step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
20000,1.9754,14630784,16_18_384_192,16,18,384,192,False,True
40000,1.7496,14630784,16_18_384_192,16,18,384,192,False,True
60000,1.6808,14630784,16_18_384_192,16,18,384,192,False,True
80000,1.6389,14630784,16_18_384_192,16,18,384,192,False,True
100000,1.608,14630784,16_18_384_192,16,18,384,192,False,True
120000,1.583,14630784,16_18_384_192,16,18,384,192,False,True
140000,1.5638,14630784,16_18_384_192,16,18,384,192,False,True
160000,1.5469,14630784,16_18_384_192,16,18,384,192,False,True
180000,1.5338,14630784,16_18_384_192,16,18,384,192,False,True
200000,1.5217,14630784,16_18_384_192,16,18,384,192,False,True
220000,1.5119,14630784,16_18_384_192,16,18,384,192,False,True
240000,1.5015,14630784,16_18_384_192,16,18,384,192,False,True
260000,1.4945,14630784,16_18_384_192,16,18,384,192,False,True
280000,1.487,14630784,16_18_384_192,16,18,384,192,False,True
300000,1.4796,14630784,16_18_384_192,16,18,384,192,False,True
320000,1.4724,14630784,16_18_384_192,16,18,384,192,False,True
340000,1.4636,14630784,16_18_384_192,16,18,384,192,False,True
360000,1.4559,14630784,16_18_384_192,16,18,384,192,False,True
380000,1.4485,14630784,16_18_384_192,16,18,384,192,False,True
400000,1.4424,14630784,16_18_384_192,16,18,384,192,False,True
420000,1.4374,14630784,16_18_384_192,16,18,384,192,False,True
440000,1.4315,14630784,16_18_384_192,16,18,384,192,False,True
460000,1.4271,14630784,16_18_384_192,16,18,384,192,False,True
480000,1.422,14630784,16_18_384_192,16,18,384,192,False,True
500000,1.4193,14630784,16_18_384_192,16,18,384,192,False,True
520000,1.4157,14630784,16_18_384_192,16,18,384,192,False,True
540000,1.4117,14630784,16_18_384_192,16,18,384,192,False,True
560000,1.4093,14630784,16_18_384_192,16,18,384,192,False,True
580000,1.4057,14630784,16_18_384_192,16,18,384,192,False,True
600000,1.4036,14630784,16_18_384_192,16,18,384,192,False,True
620000,1.397,14630784,16_18_384_192,16,18,384,192,False,True
640000,1.3942,14630784,16_18_384_192,16,18,384,192,False,True
660000,1.3923,14630784,16_18_384_192,16,18,384,192,False,True
680000,1.3901,14630784,16_18_384_192,16,18,384,192,False,True
700000,1.3873,14630784,16_18_384_192,16,18,384,192,False,True
720000,1.3854,14630784,16_18_384_192,16,18,384,192,False,True
740000,1.3843,14630784,16_18_384_192,16,18,384,192,False,True
760000,1.3821,14630784,16_18_384_192,16,18,384,192,False,True
780000,1.3787,14630784,16_18_384_192,16,18,384,192,False,True
800000,1.3775,14630784,16_18_384_192,16,18,384,192,False,True
20000,1.9771,13952320,8_16_320_480,8,16,320,480,True,False
40000,1.757,13952320,8_16_320_480,8,16,320,480,True,False
60000,1.6886,13952320,8_16_320_480,8,16,320,480,True,False
80000,1.648,13952320,8_16_320_480,8,16,320,480,True,False
100000,1.6169,13952320,8_16_320_480,8,16,320,480,True,False
120000,1.5906,13952320,8_16_320_480,8,16,320,480,True,False
140000,1.5699,13952320,8_16_320_480,8,16,320,480,True,False
160000,1.552,13952320,8_16_320_480,8,16,320,480,True,False
180000,1.5385,13952320,8_16_320_480,8,16,320,480,True,False
200000,1.5253,13952320,8_16_320_480,8,16,320,480,True,False
220000,1.5147,13952320,8_16_320_480,8,16,320,480,True,False
240000,1.5036,13952320,8_16_320_480,8,16,320,480,True,False
260000,1.4961,13952320,8_16_320_480,8,16,320,480,True,False
280000,1.4888,13952320,8_16_320_480,8,16,320,480,True,False
300000,1.4811,13952320,8_16_320_480,8,16,320,480,True,False
320000,1.4736,13952320,8_16_320_480,8,16,320,480,True,False
340000,1.4645,13952320,8_16_320_480,8,16,320,480,True,False
360000,1.4567,13952320,8_16_320_480,8,16,320,480,True,False
380000,1.4491,13952320,8_16_320_480,8,16,320,480,True,False
400000,1.4428,13952320,8_16_320_480,8,16,320,480,True,False
420000,1.4377,13952320,8_16_320_480,8,16,320,480,True,False
440000,1.432,13952320,8_16_320_480,8,16,320,480,True,False
460000,1.4272,13952320,8_16_320_480,8,16,320,480,True,False
480000,1.422,13952320,8_16_320_480,8,16,320,480,True,False
500000,1.4194,13952320,8_16_320_480,8,16,320,480,True,False
520000,1.4157,13952320,8_16_320_480,8,16,320,480,True,False
540000,1.4116,13952320,8_16_320_480,8,16,320,480,True,False
560000,1.4092,13952320,8_16_320_480,8,16,320,480,True,False
580000,1.4054,13952320,8_16_320_480,8,16,320,480,True,False
600000,1.4032,13952320,8_16_320_480,8,16,320,480,True,False
620000,1.3966,13952320,8_16_320_480,8,16,320,480,True,False
640000,1.3938,13952320,8_16_320_480,8,16,320,480,True,False
660000,1.3918,13952320,8_16_320_480,8,16,320,480,True,False
680000,1.3896,13952320,8_16_320_480,8,16,320,480,True,False
700000,1.3867,13952320,8_16_320_480,8,16,320,480,True,False
720000,1.3848,13952320,8_16_320_480,8,16,320,480,True,False
740000,1.3835,13952320,8_16_320_480,8,16,320,480,True,False
760000,1.3814,13952320,8_16_320_480,8,16,320,480,True,False
780000,1.3791,13952320,8_16_320_480,8,16,320,480,True,False
800000,1.3774,13952320,8_16_320_480,8,16,320,480,True,False
820000,1.3761,13952320,8_16_320_480,8,16,320,480,True,False
840000,1.3743,13952320,8_16_320_480,8,16,320,480,True,False
860000,1.3702,13952320,8_16_320_480,8,16,320,480,True,False
880000,1.3689,13952320,8_16_320_480,8,16,320,480,True,False
900000,1.3682,13952320,8_16_320_480,8,16,320,480,True,False
920000,1.3655,13952320,8_16_320_480,8,16,320,480,True,False
