step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
940000,1.4124,8624960,8_12_320_320,8,12,320,320,False,True
960000,1.411,8624960,8_12_320_320,8,12,320,320,False,True
980000,1.4111,8624960,8_12_320_320,8,12,320,320,False,True
1000000,1.4092,8624960,8_12_320_320,8,12,320,320,False,True
1020000,1.4081,8624960,8_12_320_320,8,12,320,320,False,True
1040000,1.4073,8624960,8_12_320_320,8,12,320,320,False,True
1060000,1.4051,8624960,8_12_320_320,8,12,320,320,False,True
1080000,1.4046,8624960,8_12_320_320,8,12,320,320,False,True
1100000,1.4043,8624960,8_12_320_320,8,12,320,320,False,True
1120000,1.4033,8624960,8_12_320_320,8,12,320,320,False,True
1140000,1.4012,8624960,8_12_320_320,8,12,320,320,False,True
1160000,1.4008,8624960,8_12_320_320,8,12,320,320,False,True
1180000,1.4007,8624960,8_12_320_320,8,12,320,320,False,True
1200000,1.3961,8624960,8_12_320_320,8,12,320,320,False,True
1220000,1.3948,8624960,8_12_320_320,8,12,320,320,False,True
1240000,1.3944,8624960,8_12_320_320,8,12,320,320,False,True
1260000,1.3926,8624960,8_12_320_320,8,12,320,320,False,True
1280000,1.3922,8624960,8_12_320_320,8,12,320,320,False,True
1300000,1.3932,8624960,8_12_320_320,8,12,320,320,False,True
1320000,1.3907,8624960,8_12_320_320,8,12,320,320,False,True
1340000,1.392,8624960,8_12_320_320,8,12,320,320,False,True
1360000,1.3904,8624960,8_12_320_320,8,12,320,320,False,True
1380000,1.3901,8624960,8_12_320_320,8,12,320,320,False,True
1400000,1.3896,8624960,8_12_320_320,8,12,320,320,False,True
1420000,1.3881,8624960,8_12_320_320,8,12,320,320,False,True
1440000,1.3878,8624960,8_12_320_320,8,12,320,320,False,True
1460000,1.3872,8624960,8_12_320_320,8,12,320,320,False,True
1480000,1.3871,8624960,8_12_320_320,8,12,320,320,False,True
1500000,1.387,8624960,8_12_320_320,8,12,320,320,False,True
1520000,1.3844,8624960,8_12_320_320,8,12,320,320,False,True
1540000,1.3847,8624960,8_12_320_320,8,12,320,320,False,True
1560000,1.3847,8624960,8_12_320_320,8,12,320,320,False,True
1580000,1.3839,8624960,8_12_320_320,8,12,320,320,False,True
1600000,1.3829,8624960,8_12_320_320,8,12,320,320,False,True
1620000,1.3829,8624960,8_12_320_320,8,12,320,320,False,True
1640000,1.3818,8624960,8_12_320_320,8,12,320,320,False,True
1660000,1.3824,8624960,8_12_320_320,8,12,320,320,False,True
1680000,1.3812,8624960,8_12_320_320,8,12,320,320,False,True
1700000,1.3814,8624960,8_12_320_320,8,12,320,320,False,True
1720000,1.3797,8624960,8_12_320_320,8,12,320,320,False,True
1740000,1.3806,8624960,8_12_320_320,8,12,320,320,False,True
1760000,1.3787,8624960,8_12_320_320,8,12,320,320,False,True
1780000,1.378,8624960,8_12_320_320,8,12,320,320,False,True
1800000,1.3733,8624960,8_12_320_320,8,12,320,320,False,True
1820000,1.3741,8624960,8_12_320_320,8,12,320,320,False,True
1840000,1.3727,8624960,8_12_320_320,8,12,320,320,False,True
1860000,1.3731,8624960,8_12_320_320,8,12,320,320,False,True
1880000,1.3725,8624960,8_12_320_320,8,12,320,320,False,True
1900000,1.3731,8624960,8_12_320_320,8,12,320,320,False,True
1920000,1.3726,8624960,8_12_320_320,8,12,320,320,False,True
1940000,1.3722,8624960,8_12_320_320,8,12,320,320,False,True
1960000,1.3715,8624960,8_12_320_320,8,12,320,320,False,True
1980000,1.3724,8624960,8_12_320_320,8,12,320,320,False,True
2000000,1.3707,8624960,8_12_320_320,8,12,320,320,False,True
2020000,1.371,8624960,8_12_320_320,8,12,320,320,False,True
2040000,1.37,8624960,8_12_320_320,8,12,320,320,False,True
2060000,1.3707,8624960,8_12_320_320,8,12,320,320,False,True
2080000,1.3697,8624960,8_12_320_320,8,12,320,320,False,True
2100000,1.3686,8624960,8_12_320_320,8,12,320,320,False,True
2120000,1.3693,8624960,8_12_320_320,8,12,320,320,False,True
2140000,1.3692,8624960,8_12_320_320,8,12,320,320,False,True
2160000,1.3678,8624960,8_12_320_320,8,12,320,320,False,True
2180000,1.3676,8624960,8_12_320_320,8,12,320,320,False,True
2200000,1.3679,8624960,8_12_320_320,8,12,320,320,False,True
2220000,1.3669,8624960,8_12_320_320,8,12,320,320,False,True
2240000,1.367,8624960,8_12_320_320,8,12,320,320,False,True
2260000,1.367,8624960,8_12_320_320,8,12,320,320,False,True
2280000,1.3666,8624960,8_12_320_320,8,12,320,320,False,True
2300000,1.3643,8624960,8_12_320_320,8,12,320,320,False,True
2320000,1.364,8624960,8_12_320_320,8,12,320,320,False,True
2340000,1.3636,8624960,8_12_320_320,8,12,320,320,False,True
2360000,1.3639,8624960,8_12_320_320,8,12,320,320,False,True
2380000,1.3604,8624960,8_12_320_320,8,12,320,320,False,True
2400000,1.3586,8624960,8_12_320_320,8,12,320,320,False,True
2420000,1.3599,8624960,8_12_320_320,8,12,320,320,False,True
2440000,1.3594,8624960,8_12_320_320,8,12,320,320,False,True
2460000,1.3599,8624960,8_12_320_320,8,12,320,320,False,True
2480000,1.3598,8624960,8_12_320_320,8,12,320,320,False,True
2500000,1.3597,8624960,8_12_320_320,8,12,320,320,False,True
2520000,1.3596,8624960,8_12_320_320,8,12,320,320,False,True
2540000,1.359,8624960,8_12_320_320,8,12,320,320,False,True
2560000,1.3589,8624960,8_12_320_320,8,12,320,320,False,True
2580000,1.3601,8624960,8_12_320_320,8,12,320,320,False,True
2600000,1.3579,8624960,8_12_320_320,8,12,320,320,False,True
2620000,1.3579,8624960,8_12_320_320,8,12,320,320,False,True
2640000,1.3586,8624960,8_12_320_320,8,12,320,320,False,True
