step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
1720000,1.4281,4401600,8_14_192_288,8,14,192,288,False,False
1740000,1.4292,4401600,8_14_192_288,8,14,192,288,False,False
1760000,1.4273,4401600,8_14_192_288,8,14,192,288,False,False
1780000,1.4267,4401600,8_14_192_288,8,14,192,288,False,False
1800000,1.427,4401600,8_14_192_288,8,14,192,288,False,False
20000,2.0311,4605184,8_10_256_256,8,10,256,256,False,True
40000,1.8014,4605184,8_10_256_256,8,10,256,256,False,True
60000,1.7345,4605184,8_10_256_256,8,10,256,256,False,True
80000,1.6916,4605184,8_10_256_256,8,10,256,256,False,True
100000,1.662,4605184,8_10_256_256,8,10,256,256,False,True
120000,1.6388,4605184,8_10_256_256,8,10,256,256,False,True
140000,1.6213,4605184,8_10_256_256,8,10,256,256,False,True
160000,1.6062,4605184,8_10_256_256,8,10,256,256,False,True
180000,1.5938,4605184,8_10_256_256,8,10,256,256,False,True
200000,1.5824,4605184,8_10_256_256,8,10,256,256,False,True
220000,1.5732,4605184,8_10_256_256,8,10,256,256,False,True
240000,1.5634,4605184,8_10_256_256,8,10,256,256,False,True
260000,1.557,4605184,8_10_256_256,8,10,256,256,False,True
280000,1.5506,4605184,8_10_256_256,8,10,256,256,False,True
300000,1.5442,4605184,8_10_256_256,8,10,256,256,False,True
320000,1.5384,4605184,8_10_256_256,8,10,256,256,False,True
340000,1.5309,4605184,8_10_256_256,8,10,256,256,False,True
360000,1.5245,4605184,8_10_256_256,8,10,256,256,False,True
380000,1.5184,4605184,8_10_256_256,8,10,256,256,False,True
400000,1.514,4605184,8_10_256_256,8,10,256,256,False,True
420000,1.5101,4605184,8_10_256_256,8,10,256,256,False,True
440000,1.5053,4605184,8_10_256_256,8,10,256,256,False,True
460000,1.502,4605184,8_10_256_256,8,10,256,256,False,True
480000,1.4977,4605184,8_10_256_256,8,10,256,256,False,True
500000,1.4959,4605184,8_10_256_256,8,10,256,256,False,True
520000,1.4932,4605184,8_10_256_256,8,10,256,256,False,True
540000,1.4903,4605184,8_10_256_256,8,10,256,256,False,True
560000,1.4889,4605184,8_10_256_256,8,10,256,256,False,True
580000,1.4859,4605184,8_10_256_256,8,10,256,256,False,True
600000,1.4848,4605184,8_10_256_256,8,10,256,256,False,True
620000,1.4805,4605184,8_10_256_256,8,10,256,256,False,True
640000,1.478,4605184,8_10_256_256,8,10,256,256,False,True
660000,1.4766,4605184,8_10_256_256,8,10,256,256,False,True
680000,1.4752,4605184,8_10_256_256,8,10,256,256,False,True
700000,1.4728,4605184,8_10_256_256,8,10,256,256,False,True
720000,1.4715,4605184,8_10_256_256,8,10,256,256,False,True
740000,1.4704,4605184,8_10_256_256,8,10,256,256,False,True
760000,1.469,4605184,8_10_256_256,8,10,256,256,False,True
780000,1.4673,4605184,8_10_256_256,8,10,256,256,False,True
800000,1.466,4605184,8_10_256_256,8,10,256,256,False,True
820000,1.4654,4605184,8_10_256_256,8,10,256,256,False,True
840000,1.4641,4605184,8_10_256_256,8,10,256,256,False,True
860000,1.4631,4605184,8_10_256_256,8,10,256,256,False,True
880000,1.4612,4605184,8_10_256_256,8,10,256,256,False,True
900000,1.4602,4605184,8_10_256_256,8,10,256,256,False,True
